file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,4,0,0,3,2,6,2,2,5,5,6,0,7	11110000111111111000011111111000011111111000011111	33.86
2	4,3,0,3,1,5,2,4,1,5,3,7,4,7,5	11110000011111111111100000000111111100000000111111	33.86
14	6,7,4,6,0,3,0,2,7,7,5,5,3,1,6	11000000001111111111110000000000011111111111100000	33.86
15	0,0,2,3,7,0,6,2,6,6,3,2,6,2,4	11110000000000011111111100000000000111111111100000	31.04
19	3,4,1,7,5,7,0,5,6,3,6,4,4,4,7	11111001111111111111000000000111111111000000000011	39.51
20	0,0,2,1,4,0,2,5,1,5,1,7,0,2,1	11111000000011111111111111111111111111111111111111	22.58
21	3,5,6,6,2,7,2,7,3,5,7,5,2,5,7	11110000111111111111111100000111110000001111100000	33.86
34	3,7,7,2,1,7,0,0,5,6,5,3,7,5,0	11111111111000011111110000001111110000001111110000	36.69
35	6,1,0,2,0,7,1,4,3,5,4,1,6,5,2	11111111100000000001111111000000011111100000001111	36.69
41	7,3,1,2,6,3,3,5,4,1,6,7,7,0,6	11000011111111100001111100000111100000111110000111	45.15
42	4,3,1,7,7,2,4,2,6,6,5,0,4,5,6	11111111111000000000000000000000000001111111111100	25.4
44	1,4,4,2,5,4,1,0,0,3,2,4,6,0,7	11110000011111111111100000111111111110000011111111	33.86
56	6,0,1,7,1,0,4,0,5,6,3,7,6,7,5	11100000111111111100000001111111000000011111110000	36.69
57	7,1,1,2,6,1,0,6,7,1,7,5,7,5,3	11100000111111110000011110000111110000111110000111	39.51
61	3,0,7,4,2,6,1,1,6,5,5,5,2,6,1	11111000011111111111111111000000000111111111000000	33.86
64	5,6,3,0,6,2,0,0,2,7,2,5,1,3,1	11111100000011111111111111111111111111111111100000	25.4
67	2,7,5,3,7,1,0,1,3,3,5,5,6,5,7	11100000111111111000011111111100001111111110000011	33.86
70	2,3,5,1,1,2,0,1,2,3,1,1,5,5,7	11111000000000011111111111100000000011111111111000	33.86
85	4,1,3,6,5,2,7,5,5,1,7,7,3,1,6	11111000001111111111111111110000011111000001111100	36.69
88	3,0,3,5,7,3,3,4,2,0,3,5,4,0,3	11111100000001111111111111000000111111100000011111	36.69
92	0,5,4,6,7,4,0,1,6,4,7,4,2,6,0	11111111100000111111111111000001111111111111000001	33.86
93	0,6,5,1,3,2,0,7,5,4,5,4,6,0,1	11111000011111110000111111100001111111000011111100	31.04
95	5,4,0,1,1,4,2,5,6,4,1,2,5,0,3	11100000000011111111111111000000000001111111111110	33.86
96	5,7,0,6,6,1,5,3,7,6,1,2,5,4,1	11111100000000000000111111111111111100000000111111	31.04
109	5,3,4,3,7,5,1,4,2,4,4,3,3,0,4	11100000001111111111111111000000000111111111100000	33.86
112	0,0,6,1,6,4,1,3,5,5,5,6,4,0,5	11000111111111111000000111111000000111111000000111	36.69
113	7,3,5,2,7,4,0,7,7,4,7,6,7,1,0	11110000011111100000111111000001111100000111111000	33.86
119	1,6,7,5,6,5,0,2,0,1,6,5,6,7,6	11111111111111111000111111111000011111111000011111	33.86
124	7,5,3,2,6,5,7,7,5,7,5,5,4,1,4	11100000011111111111111000001111100001111100000111	42.33
127	7,3,6,4,1,4,1,0,7,2,1,5,7,4,6	11000001111111111111100000000011111111000000000111	36.69
137	7,1,4,6,7,6,3,5,6,6,7,3,3,3,1	11111100000000111111111111111100000001111110000000	33.86
138	7,0,4,2,1,1,4,4,2,1,3,1,3,0,5	11111110000000000000001111111111111100000000111111	31.04
139	6,1,4,5,1,7,6,1,3,7,0,5,5,1,0	11111000000111111111111111111111111110000000000000	25.4
149	6,5,4,4,6,1,3,1,6,5,3,3,6,4,3	11110000000001111111111110000000011111111111100000	31.04
150	1,1,3,7,1,4,1,6,6,1,7,7,4,2,4	11100011111111100000111110000011111000001111100000	33.86
151	4,6,1,3,6,0,3,4,5,6,3,2,3,1,3	11110000000000001111111111111111111000000001111111	31.04
153	1,5,4,5,6,3,2,5,4,4,2,4,4,1,4	11100000011111111111111110000111111000000111110000	39.51
160	5,4,6,6,5,7,1,7,3,2,1,6,5,5,5	11100000111111111111111110000000001111111110000000	33.86
168	1,1,5,3,1,0,0,6,5,0,5,3,5,7,7	11111110000001111111111000000011111111110000001111	33.86
179	0,6,1,4,4,1,4,4,1,5,2,6,6,0,0	11111110000011111111111110000011111111111110000011	28.22
184	0,4,6,7,1,3,1,6,3,0,5,7,7,0,5	11100001111100001111100001111100001111000011111000	33.86
195	5,0,3,0,0,3,2,3,4,7,4,2,5,0,3	11100000011111111000000011111100000001111110000000	33.86
199	2,4,4,3,6,5,3,6,6,2,2,6,4,0,3	11000000111111111111111100000011111110000000111111	33.86
210	3,1,1,1,3,3,3,2,6,6,4,6,7,0,4	11000011111110000001111110000000111111000000111111	36.69
211	4,0,5,7,3,7,0,1,5,0,2,7,5,3,4	11100000111111111110000000000111111111100000000001	33.86
223	6,3,3,2,0,0,1,5,0,4,2,5,4,3,7	11110000001111111111111111000000111111111111111000	31.04
230	5,5,4,0,2,5,6,3,6,1,5,7,4,0,5	11110000111111111111100000111111111111000001111111	33.86
234	6,2,4,0,5,3,1,3,7,4,4,5,6,3,6	11000001111111111000011111000011111000011110000011	42.33
249	5,6,5,0,4,4,1,3,7,3,1,7,7,1,4	11100001111111111111110000001111110000001111110000	36.69
251	0,3,5,1,5,0,4,3,2,5,5,7,5,3,4	11111100001111111111100001111111111100001111111111	25.4
267	0,6,0,0,5,6,1,4,4,5,1,2,5,6,4	11111000000000111111111111111100000000011111111111	28.22
272	0,5,3,5,3,1,2,5,1,6,5,4,6,7,4	11111111110000011111111111110000011111111111100000	31.04
284	1,6,7,6,2,4,0,0,0,2,4,2,6,7,6	11111111111111110000011111111110000011111111110000	25.4
285	6,6,6,0,2,6,2,6,6,7,2,6,4,3,4	11100000111111111111111110000111111111111111000011	36.69
