file_number	genotype_raw	phenotype_binary	complexity_entropy
3	0,0,4,5,4,3,4,0,0,4,2,5,3,4,6	11111111110000011111111111111111000000111111111111	28.22
5	3,3,6,7,6,6,4,6,7,2,3,6,7,4,2	11111100001111111111100001111111111100001111111111	25.4
9	7,2,2,4,4,2,5,4,2,0,0,0,7,3,7	11111111111111111111111111110000000000000000000000	16.93
11	5,5,3,1,2,5,7,3,3,6,6,4,6,1,6	11110000001111111111000001111111111000000111111111	31.04
12	7,5,0,5,7,4,2,5,1,1,5,2,6,5,3	11111111111111111111111111111111111000000000011111	22.58
13	5,6,0,6,7,6,5,7,2,3,5,2,7,6,7	11111111111111110000000000111111111111111111000000	28.22
24	6,1,2,5,6,0,2,2,4,4,6,6,2,4,0	11111111100000011111111111111111111111110000011111	28.22
38	0,1,6,6,0,3,5,6,2,3,7,2,0,6,3	11111111111111111111111111111111111111111111111100	16.93
48	5,2,3,7,2,2,3,6,7,3,2,3,7,2,6	11000000001111111111000000011111100000001111111000	39.51
52	2,7,0,6,2,2,2,2,2,1,7,2,0,7,6	11111111111111111111111111110000000000000011111111	22.58
55	4,0,3,1,3,3,2,5,1,7,0,7,4,7,5	11100000011111111111111111111111111111111000000000	25.4
59	1,2,4,7,3,1,5,2,3,3,6,2,6,6,6	11111111111111111100000000011111111111111111111100	28.22
60	7,7,5,5,4,2,7,6,2,4,0,4,6,5,3	11111111000000001111111111111111111111111111111000	28.22
62	6,4,5,1,1,7,5,4,2,3,3,3,6,4,2	11111111111111111110000001111111111111111111000000	22.58
65	1,3,2,0,5,1,6,0,1,4,6,1,2,7,3	11111111111111111111111111111111111111111111111111	5.64
68	0,5,5,3,2,0,7,2,1,3,0,7,0,2,2	11111111000000000111111111111111111111111111111111	22.58
75	7,5,3,2,6,3,0,1,1,1,3,6,2,3,3	11111000000111111111111111111111000000001111111110	33.86
80	5,0,1,7,2,1,1,7,4,6,7,0,7,0,5	11111111111111111111111111111111111111111111111111	5.64
82	3,6,1,7,6,7,2,1,6,4,4,7,3,2,0	11110000011111111111111100000001111111000000011111	36.69
87	1,3,1,3,5,3,2,7,6,7,1,1,7,2,1	11111000000000000111111111110000001111111000000111	36.69
89	1,2,7,5,3,5,2,0,5,4,2,5,3,5,7	11100000111111111111111100000011111100000011111110	36.69
97	4,1,2,6,3,7,0,4,4,5,0,6,7,4,5	11000000000000000000000000011111111111111111110000	28.22
99	3,2,2,1,0,0,5,3,7,1,3,7,2,1,2	11111000001111111111111111111110000001111111111111	28.22
100	5,7,5,1,1,3,5,3,2,6,3,4,6,3,2	11111111100000011111111111110000011111111111110000	28.22
104	2,4,2,7,0,4,7,7,0,0,7,5,1,6,7	11111111111111111111111111111111111111111111111111	5.64
106	7,5,3,7,6,5,3,1,2,7,4,7,5,5,2	11111000011111111111000011110000111100001111000011	36.69
107	6,0,7,1,0,1,7,2,3,3,6,4,3,3,7	11111111000000111111111111111100000011111111111111	28.22
116	5,2,1,2,3,2,6,3,7,4,7,0,3,5,4	11111111111111111111111111111111100000000000000000	16.93
117	3,4,4,0,5,0,7,0,4,4,2,5,3,0,0	11111111000000011111111111111111111111000000011111	28.22
121	4,2,6,7,2,5,2,4,6,2,3,4,6,7,6	11110000001111111111100000111111111110000001111111	33.86
125	5,7,7,1,7,6,2,3,6,7,5,0,5,4,4	11111111100000000000000000001111111111000000000000	25.4
132	1,3,5,0,5,5,0,0,3,3,3,0,0,5,3	11111111111100000000000000000000000011111111111111	22.58
136	2,1,3,2,4,6,1,5,0,3,0,7,7,3,7	11110000111111111111111111111111111111000000000000	25.4
140	1,2,4,2,4,6,0,5,6,6,6,1,5,5,5	11110001111111111000000011111110000001111111000000	39.51
141	4,6,7,2,6,2,3,7,1,0,6,7,5,5,0	11111111111111111111111111111111111111111111111111	5.64
142	4,0,3,1,7,4,5,5,3,6,1,4,4,6,3	11111100000000111111111111111111000000111111000000	36.69
143	5,0,3,3,7,0,6,6,3,1,1,2,5,5,2	11111111111111111111111111000000000000011111111111	22.58
144	2,2,7,0,7,2,3,7,3,0,3,0,4,2,7	11111111111111111111111111111111110000000000000000	16.93
145	1,6,3,0,0,1,6,3,6,6,0,7,1,1,4	11100000000111111111111111111111111111111111111111	22.58
146	3,6,7,3,1,2,1,2,4,3,2,3,5,7,7	11110000001111111111100000011111111111000000111111	28.22
147	3,6,7,3,6,4,2,5,5,7,3,6,7,6,7	11000001111111110000011111111100001111111110000011	33.86
148	0,6,4,3,6,3,0,2,5,6,1,4,2,7,1	11110000001111111111111111111111111000000111111111	28.22
152	1,6,4,7,6,1,1,2,2,2,5,5,4,3,4	11111000000111111111111000000111111111111000000111	28.22
154	5,0,4,0,5,0,2,5,0,1,1,7,6,3,4	11111111100000111111111111111111110000011111111111	28.22
155	7,6,6,2,1,5,3,7,1,7,5,1,4,0,4	11111110000000000111111111111000000000001111111111	28.22
157	7,3,4,1,5,2,2,3,5,6,2,4,6,3,3	11100000001111111111110000011111000001111000001111	42.33
158	3,5,2,0,2,0,1,0,4,0,0,3,2,6,6	11111110000000000011111111111111111111111111111111	22.58
163	0,5,5,1,3,6,1,3,2,2,0,1,3,3,5	11111110000000000001111111111111111111111100000000	28.22
180	5,2,1,7,2,4,1,4,3,1,7,6,3,3,4	11111000011111111111111111000000001111111110000000	33.86
183	2,5,4,7,4,7,0,1,5,6,4,2,0,5,3	11100000000011111111111111111111111111111111111111	22.58
192	6,1,0,1,5,6,6,2,4,3,1,5,1,7,1	11111111111000000001111111111111111111111111111111	22.58
213	0,6,5,2,0,0,0,0,3,7,3,2,6,7,1	11111111000001111111110000011111111100000111111111	22.58
231	4,4,7,2,0,6,5,2,0,1,2,3,1,5,6	11111111111111111111111111111111111111111000000001	19.75
243	6,5,0,2,7,1,1,5,6,0,5,0,3,7,2	11111111111111111111111111111111111111111111111111	5.64
253	2,5,2,2,1,5,7,4,4,3,1,3,2,1,0	11111111111100000000111111111111111111111111111000	28.22
255	1,6,0,1,6,6,7,0,5,4,4,2,2,7,4	11111111111111110000000000001111111111111111111111	22.58
259	3,6,6,0,6,4,7,3,6,5,0,0,5,1,3	11111110000000000000000000000000001111111111111111	22.58
269	3,4,1,7,2,7,6,6,3,0,3,5,7,1,5	11111111100000011111111111111000001111111111111100	31.04
277	3,7,3,2,1,2,0,4,5,1,4,0,2,0,1	11111111100000000000000000011111111111111111100000	28.22
281	3,1,3,6,1,7,6,0,4,3,6,5,2,7,0	11111111111111111111111111111111111111111111111111	5.64
282	7,3,0,5,7,1,6,6,7,7,3,3,3,5,5	11100000000000111111111111111111111000000000001111	28.22
286	3,3,2,3,6,0,6,2,3,2,1,7,7,7,7	11111100000011111111111111111110000001111111111111	28.22
288	7,2,7,0,2,5,3,6,4,6,3,4,6,7,4	11111000000111111111100000111111111110000011111111	33.86
291	0,1,2,7,1,6,2,4,6,7,1,2,7,2,4	11000000011111111111100000000111111110000000111111	33.86
297	2,0,2,7,3,4,4,0,3,4,2,6,3,2,0	11111111000001111111111111110000000011111111000000	33.86
308	7,6,6,1,2,7,2,7,7,7,2,2,3,0,0	11111000000000111111111111111000000001111111100000	33.86
